iso3,year,product_code,avg_mfn_tariff_pct
AUS,2019,AGR,10.07
AUS,2019,FUE,6.49
AUS,2019,MAN,6.5
AUS,2019,OTH,5.84
AUS,2020,AGR,10.2
AUS,2020,FUE,5.5
AUS,2020,MAN,6.22
AUS,2020,OTH,6.67
AUS,2021,AGR,9.57
AUS,2021,FUE,6.22
AUS,2021,MAN,5.99
AUS,2021,OTH,
AUS,2022,AGR,10.27
AUS,2022,FUE,5.91
AUS,2022,MAN,6.1
AUS,2022,OTH,6.42
AUS,2023,AGR,8.88
AUS,2023,FUE,6.21
AUS,2023,MAN,6.56
AUS,2023,OTH,6.02
BRA,2019,AGR,7.31
BRA,2019,FUE,5.47
BRA,2019,MAN,4.72
BRA,2019,OTH,4.91
BRA,2020,AGR,8.33
BRA,2020,FUE,4.81
BRA,2020,MAN,4.76
BRA,2020,OTH,5.05
BRA,2021,AGR,8.22
BRA,2021,FUE,5.56
BRA,2021,MAN,5.55
BRA,2021,OTH,4.84
BRA,2022,AGR,8.4
BRA,2022,FUE,4.61
BRA,2022,MAN,5.06
BRA,2022,OTH,4.85
BRA,2023,AGR,8.28
BRA,2023,FUE,5.2
BRA,2023,MAN,5.24
BRA,2023,OTH,5.23
CAN,2019,AGR,16.49
CAN,2019,FUE,9.17
CAN,2019,MAN,9.69
CAN,2019,OTH,8.76
CAN,2020,AGR,16.02
CAN,2020,FUE,8.84
CAN,2020,MAN,10.44
CAN,2020,OTH,10.33
CAN,2021,AGR,14.52
CAN,2021,FUE,9.5
CAN,2021,MAN,10.01
CAN,2021,OTH,8.8
CAN,2022,AGR,14.17
CAN,2022,FUE,10.23
CAN,2022,MAN,10.45
CAN,2022,OTH,10.12
CAN,2023,AGR,
CAN,2023,FUE,9.61
CAN,2023,MAN,9.87
CAN,2023,OTH,9.7
CHN,2019,AGR,19.59
CHN,2019,FUE,12.02
CHN,2019,MAN,13.45
CHN,2019,OTH,12.54
CHN,2020,AGR,22.63
CHN,2020,FUE,12.76
CHN,2020,MAN,12.33
CHN,2020,OTH,12.76
CHN,2021,AGR,19.54
CHN,2021,FUE,12.32
CHN,2021,MAN,13.74
CHN,2021,OTH,14.47
CHN,2022,AGR,22.28
CHN,2022,FUE,13.06
CHN,2022,MAN,13.26
CHN,2022,OTH,
CHN,2023,AGR,20.7
CHN,2023,FUE,14.48
CHN,2023,MAN,12.22
CHN,2023,OTH,13.4
DEU,2019,AGR,9.88
DEU,2019,FUE,5.83
DEU,2019,MAN,6.25
DEU,2019,OTH,6.48
DEU,2020,AGR,9.12
DEU,2020,FUE,5.98
DEU,2020,MAN,6.39
DEU,2020,OTH,6.64
DEU,2021,AGR,9.51
DEU,2021,FUE,6.09
DEU,2021,MAN,
DEU,2021,OTH,6.76
DEU,2022,AGR,9.34
DEU,2022,FUE,5.89
DEU,2022,MAN,
DEU,2022,OTH,6.67
DEU,2023,AGR,9.73
DEU,2023,FUE,5.74
DEU,2023,MAN,6.34
DEU,2023,OTH,6.27
IND,2019,AGR,12.03
IND,2019,FUE,
IND,2019,MAN,8.62
IND,2019,OTH,8.19
IND,2020,AGR,14.27
IND,2020,FUE,8.12
IND,2020,MAN,8.46
IND,2020,OTH,8.83
IND,2021,AGR,11.96
IND,2021,FUE,7.45
IND,2021,MAN,8.38
