reporter_iso3,reporter,region,year,product_code,product_group,exports_usd_m,imports_usd_m
AUS,Australia,Asia-Pacific,2019,AGR,Agricultural products,30669.2,23425.4
AUS,Australia,Asia-Pacific,2019,FUE,Fuels and mining products,43007.1,50649.1
AUS,Australia,Asia-Pacific,2019,MAN,Manufactures,223177.2,173112.9
AUS,Australia,Asia-Pacific,2019,OTH,Other,13871.5,13323.2
AUS,Australia,Asia-Pacific,2020,AGR,Agricultural products,25786.5,25127.5
AUS,Australia,Asia-Pacific,2020,FUE,Fuels and mining products,42150.9,37701.1
AUS,Australia,Asia-Pacific,2020,MAN,Manufactures,204969.1,164417.5
AUS,Australia,Asia-Pacific,2020,OTH,Other,14392.2,12338.8
AUS,Australia,Asia-Pacific,2021,AGR,Agricultural products,37023.8,30143.9
AUS,Australia,Asia-Pacific,2021,FUE,Fuels and mining products,48410.8,59921.4
AUS,Australia,Asia-Pacific,2021,MAN,Manufactures,253367.4,265220.6
AUS,Australia,Asia-Pacific,2021,OTH,Other,18555.8,16548.5
AUS,Australia,Asia-Pacific,2022,AGR,Agricultural products,40108.1,42215.7
AUS,Australia,Asia-Pacific,2022,FUE,Fuels and mining products,57857.3,57333.7
AUS,Australia,Asia-Pacific,2022,MAN,Manufactures,255088.9,227811.4
AUS,Australia,Asia-Pacific,2022,OTH,Other,18235.5,15440.9
AUS,Australia,Asia-Pacific,2023,AGR,Agricultural products,37394.6,33902.0
AUS,Australia,Asia-Pacific,2023,FUE,Fuels and mining products,52348.3,53260.9
AUS,Australia,Asia-Pacific,2023,MAN,Manufactures,262268.3,253314.6
AUS,Australia,Asia-Pacific,2023,OTH,Other,18970.9,15530.7
BRA,Brazil,South America,2019,AGR,Agricultural products,30193.1,29837.4
BRA,Brazil,South America,2019,FUE,Fuels and mining products,43240.6,49869.0
BRA,Brazil,South America,2019,MAN,Manufactures,187502.9,154612.4
BRA,Brazil,South America,2019,OTH,Other,13479.7,13258.9
BRA,Brazil,South America,2020,AGR,Agricultural products,27608.1,24709.3
BRA,Brazil,South America,2020,FUE,Fuels and mining products,38407.7,45237.1
BRA,Brazil,South America,2020,MAN,Manufactures,175422.8,165414.5
BRA,Brazil,South America,2020,OTH,Other,12525.7,14317.3
BRA,Brazil,South America,2021,AGR,Agricultural products,31681.7,30860.4
BRA,Brazil,South America,2021,FUE,Fuels and mining products,48373.6,37469.2
BRA,Brazil,South America,2021,MAN,Manufactures,211322.4,247961.1
BRA,Brazil,South America,2021,OTH,Other,15899.5,13037.4
BRA,Brazil,South America,2022,AGR,Agricultural products,38382.7,38685.6
BRA,Brazil,South America,2022,FUE,Fuels and mining products,56419.0,44432.6
BRA,Brazil,South America,2022,MAN,Manufactures,256157.0,243177.0
BRA,Brazil,South America,2022,OTH,Other,18181.0,14860.6
BRA,Brazil,South America,2023,AGR,Agricultural products,33907.1,42788.1
BRA,Brazil,South America,2023,FUE,Fuels and mining products,49300.2,48616.9
BRA,Brazil,South America,2023,MAN,Manufactures,254906.8,265705.1
BRA,Brazil,South America,2023,OTH,Other,17459.7,16834.4
CAN,Canada,North America,2019,AGR,Agricultural products,52100.1,53051.7
CAN,Canada,North America,2019,FUE,Fuels and mining products,75364.2,58328.6
CAN,Canada,North America,2019,MAN,Manufactures,323090.7,434922.4
CAN,Canada,North America,2019,OTH,Other,26326.7,21443.0
CAN,Canada,North America,2020,AGR,Agricultural products,49312.4,51179.4
CAN,Canada,North America,2020,FUE,Fuels and mining products,69593.7,60138.2
CAN,Canada,North America,2020,MAN,Manufactures,339344.7,276020.6
CAN,Canada,North America,2020,OTH,Other,23435.3,22320.3
CAN,Canada,North America,2021,AGR,Agricultural products,56792.9,51191.2
CAN,Canada,North America,2021,FUE,Fuels and mining products,89423.0,73652.0
CAN,Canada,North America,2021,MAN,Manufactures,434387.6,422405.0
CAN,Canada,North America,2021,OTH,Other,28830.8,23317.1
CAN,Canada,North America,2022,AGR,Agricultural products,61854.9,62904.1
CAN,Canada,North America,2022,FUE,Fuels and mining products,90986.1,80560.0
CAN,Canada,North America,2022,MAN,Manufactures,425222.3,546308.8
CAN,Canada,North America,2022,OTH,Other,29570.0,29191.1
CAN,Canada,North America,2023,AGR,Agricultural products,58211.0,55653.9
CAN,Canada,North America,2023,FUE,Fuels and mining products,92540.1,94621.0
CAN,Canada,North America,2023,MAN,Manufactures,448008.2,349994.5
CAN,Canada,North America,2023,OTH,Other,30163.5,29411.7
CHN,China,Asia-Pacific,2019,AGR,Agricultural products,310995.6,345655.3
CHN,China,Asia-Pacific,2019,FUE,Fuels and mining products,421086.1,421352.3
CHN,China,Asia-Pacific,2019,MAN,Manufactures,2221522.0,1795246.4
CHN,China,Asia-Pacific,2019,OTH,Other,148766.7,140164.1
CHN,China,Asia-Pacific,2020,AGR,Agricultural products,267831.4,323268.0
CHN,China,Asia-Pacific,2020,FUE,Fuels and mining products,442695.9,396226.1
CHN,China,Asia-Pacific,2020,MAN,Manufactures,2109015.8,2381754.9
CHN,China,Asia-Pacific,2020,OTH,Other,149016.5,150470.5
CHN,China,Asia-Pacific,2021,AGR,Agricultural products,344207.4,300660.0
CHN,China,Asia-Pacific,2021,FUE,Fuels and mining products,480955.0,530685.7
CHN,China,Asia-Pacific,2021,MAN,Manufactures,2324274.5,2670052.0
CHN,China,Asia-Pacific,2021,OTH,Other,170375.0,220229.9
CHN,China,Asia-Pacific,2022,AGR,Agricultural products,384399.6,391403.4
CHN,China,Asia-Pacific,2022,FUE,Fuels and mining products,552911.0,687244.6
CHN,China,Asia-Pacific,2022,MAN,Manufactures,2685005.5,2723830.3
CHN,China,Asia-Pacific,2022,OTH,Other,193065.7,201480.4
CHN,China,Asia-Pacific,2023,AGR,Agricultural products,345939.3,404337.4
CHN,China,Asia-Pacific,2023,FUE,Fuels and mining products,521402.9,585845.4
CHN,China,Asia-Pacific,2023,MAN,Manufactures,2453454.8,2308121.2
CHN,China,Asia-Pacific,2023,OTH,Other,175569.2,193546.4
DEU,Germany,Europe,2019,AGR,Agricultural products,148061.4,155585.4
