iso3,country,year,exports_pct_gdp,gdp_usd
AUS,Australia,2015,19.9846454503255,1356805839935.9
AUS,Australia,2016,19.2031438783351,1211588128417.61
AUS,Australia,2017,21.1718412211076,1330890554614.09
AUS,Australia,2018,21.8125736575066,1433144978761.67
AUS,Australia,2019,24.0624800210722,1398349602956.35
AUS,Australia,2020,23.9380373915413,1333336461648.09
AUS,Australia,2021,22.0018144228925,1560617493202.69
AUS,Australia,2022,25.4615298373659,1695627535475.8
AUS,Australia,2023,26.701068252275,1734451264655.6
BRA,Brazil,2015,12.900191418386,1802212206814.5
BRA,Brazil,2016,12.4666790429968,1795693482853.01
BRA,Brazil,2017,12.5189678698768,2063514977365.65
BRA,Brazil,2018,14.6349994955075,1916933898010.99
BRA,Brazil,2019,14.1229191913178,1873288205059.69
BRA,Brazil,2020,16.4535520094071,1476107231310.49
BRA,Brazil,2021,19.1094303688709,1670647398904.9
BRA,Brazil,2022,19.6307650034371,1951923942083.32
BRA,Brazil,2023,17.9693243032741,2191131765684.63
CAN,Canada,2015,31.8499289605736,1556510380200.23
CAN,Canada,2016,31.5025413039024,1527996250640.92
CAN,Canada,2017,31.4543366815438,1649269496514.62
CAN,Canada,2018,32.3253748086707,1725330736237.69
CAN,Canada,2019,32.3526259007732,1743728952156.85
CAN,Canada,2020,29.47360741517,1655686966881.99
CAN,Canada,2021,31.1750905922479,2022377950896.78
CAN,Canada,2022,33.7212083293036,2200562785046.32
CAN,Canada,2023,33.3416520498948,2196593836347.42
CHN,China,2015,20.9390642234326,11280814787468.9
CHN,China,2016,19.2036507365412,11456024084962
CHN,China,2017,19.3356301657728,12537559062282.9
CHN,China,2018,18.770519802938,14147765772963.8
CHN,China,2019,18.1398222864053,14560167101283.4
CHN,China,2020,18.2696013805051,14996414166715.1
CHN,China,2021,19.4350556514909,18201698719564
CHN,China,2022,20.227756033041,18316765021690.2
CHN,China,2023,19.4023091648376,18270356654533.2
DEU,Germany,2015,42.5853976151835,3425099578746.09
